,program_id,title,description,level,goal,equipment,program_length,time_per_workout,total_exercises,workout_frequency,primary_level,primary_goal,training_style,intensity_score
10,FP000011,5-Day Push/Pull Split,"Advanced training split hitting each muscle group multiple times weekly.

This 12-week ULPPL program includes 6 training sessions per week, structured to optimize gains for Beginner individuals pursuing General Fitness, Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include rest-pause techniques, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Thursday: Training
Saturday: Training
Sunday: Training",['Beginner'],"['General Fitness', 'Athletics']",Garage Gym,12,40,286,6,Beginner,General Fitness,Push/Pull/Legs,6.0
11,FP000012,Core Athletic Training,"High-volume approach dedicating entire sessions to specific muscle groups.

This 9-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Novice lifters focusing on Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include progressive overload mechanisms, supersets for efficiency, autoregulation guidelines.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs",['Novice'],['Athletics'],Dumbbell Only,9,30,79,5,Novice,Athletics,Body Part Split,6.0
12,FP000013,Muscle Functional Split,"Comprehensive 6-day program optimized for advanced muscle development.

This 8-week ULPPL program includes 4 training sessions per week, structured to optimize gains for Advanced individuals pursuing Bodyweight Fitness, Bodybuilding, Powerbuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include periodized intensity and volume, strategic deloads, drop sets for muscle fatigue, tempo variations.

Weekly Schedule:
Tuesday: Training
Wednesday: Training
Thursday: Training
Sunday: Training",['Advanced'],"['Bodyweight Fitness', 'Bodybuilding', 'Powerbuilding']",Garage Gym,8,120,218,6,Advanced,Bodyweight Fitness,Push/Pull/Legs,10.0
13,FP000014,Core General Fitness Method,"Advanced training split for targeted development of specific muscle groups.

This 3-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Intermediate, Novice, Beginner lifters focusing on Weight Loss, Bodyweight Fitness.

Exercise selection focuses on progressive bodyweight exercises that build functional strength and muscle, with minimal equipment requirements. 

Program features include periodized intensity and volume, supersets for efficiency, tempo variations.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs","['Intermediate', 'Novice', 'Beginner']","['Weight Loss', 'Bodyweight Fitness']",At Home,3,60,132,5,Intermediate,Weight Loss,Body Part Split,9.0
14,FP000015,Fundamental Building Formula,"High-frequency, high-volume approach for experienced lifters seeking maximum gains.

This 12-week ULPPL program includes 3 training sessions per week, structured to optimize gains for Advanced, Beginner individuals pursuing General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include periodized intensity and volume, strategic deloads, tempo variations.

Weekly Schedule:
Tuesday: Training
Thursday: Training
Saturday: Training","['Advanced', 'Beginner']",['General Fitness'],Garage Gym,12,75,600,6,Advanced,General Fitness,Push/Pull/Legs,10.0
15,FP000016,Strength Core Approach,"Streamlined approach grouping exercises by push and pull mechanics.

This 6-week Push/Pull program includes 5 training sessions per week, structured to optimize gains for Advanced, Novice, Intermediate individuals pursuing General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include progressive overload mechanisms, strategic deloads, rest-pause techniques, tempo variations.

Weekly Schedule:
Monday: Training
Wednesday: Training
Thursday: Training
Friday: Training
Sunday: Training","['Advanced', 'Novice', 'Intermediate']",['General Fitness'],Dumbbell Only,6,120,290,4,Advanced,General Fitness,Other,10.0
16,FP000017,TitanAthletic,"Advanced training split for targeted development of specific muscle groups.

This 15-week body part split includes 6 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Beginner, Novice lifters focusing on Bodybuilding, Muscle & Sculpting, Weight Loss.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include structured progression schemes.

Weekly Schedule:
Monday: Shoulders
Tuesday: Chest
Wednesday: Back
Thursday: Legs
Friday: Arms
Saturday: Rest","['Beginner', 'Novice']","['Bodybuilding', 'Muscle & Sculpting', 'Weight Loss']",Full Gym,15,45,385,5,Beginner,Bodybuilding,Body Part Split,6.0
17,FP000018,3-Day PHAT (Power Hypertrophy Adaptive Training) Split,"Structured approach to hit each muscle group multiple times weekly with varied stimuli.

This 13-week Upper/Lower/Push/Pull/Legs program includes 5 training sessions per week, structured to optimize gains for Novice, Advanced, Intermediate individuals pursuing Powerbuilding, General Fitness.

Exercise selection focuses on heavy compound lifts for strength development combined with strategic isolation work for balanced muscle development and aesthetics. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads.

Weekly Schedule:
Monday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training","['Novice', 'Advanced', 'Intermediate']","['Powerbuilding', 'General Fitness']",Garage Gym,13,45,457,4,Novice,Powerbuilding,Upper/Lower,6.0
18,FP000019,PeakForge X,"Modified full-body program with additional work for priority muscle groups.

This 16-week Full Body with Specialization program includes 4 training sessions per week, structured to optimize gains for Novice individuals pursuing Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include rest-pause techniques.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Thursday: Training",['Novice'],['Athletics'],Dumbbell Only,16,30,324,3,Novice,Athletics,Full Body,4.0
19,FP000020,4-Day Full Body Split,"Specialized program alternating between power and hypertrophy training across 5 weekly sessions.

This 2-week PHAT program features 5 weekly sessions, combining power training (2 days) with hypertrophy-focused bodybuilding (3 days). Designed for Intermediate, Beginner, Novice lifters seeking improvements in Bodyweight Fitness, Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Wednesday: Back & Shoulders Hypertrophy
Thursday: Lower Hypertrophy
Friday: Chest & Arms Hypertrophy
Saturday: Rest
Sunday: Rest","['Intermediate', 'Beginner', 'Novice']","['Bodyweight Fitness', 'Muscle & Sculpting']",Full Gym,2,30,53,3,Intermediate,Bodyweight Fitness,Other,5.0
20,FP000021,Body Part Split Powerlifting Program,"Focus on compound movements at the beginning of each session followed by targeted isolation work.

This 7-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Intermediate lifters focusing on Weight Loss.

Exercise selection focuses on efficient compound movements arranged for optimal caloric expenditure, while preserving muscle mass during fat loss. 

Program features include strategic deloads, rest-pause techniques, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body",['Intermediate'],['Weight Loss'],Dumbbell Only,7,40,143,4,Intermediate,Weight Loss,Upper/Lower,6.0
21,FP000022,3-Day Push/Pull Split,"Structured approach to hit each muscle group multiple times weekly with varied stimuli.

This 9-week Upper/Lower/Push/Pull/Legs program includes 4 training sessions per week, structured to optimize gains for Advanced individuals pursuing General Fitness, Strength, Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include autoregulation guidelines.

Weekly Schedule:
Wednesday: Training
Friday: Training
Saturday: Training
Sunday: Training",['Advanced'],"['General Fitness', 'Strength', 'Muscle & Sculpting']",Dumbbell Only,9,70,208,4,Advanced,General Fitness,Upper/Lower,9.0
22,FP000023,Premium Weight Loss Protocol,"Innovative 5-day split optimized for both strength and hypertrophy gains.

This 1-week Upper/Lower/Push/Pull/Legs program includes 5 training sessions per week, structured to optimize gains for Novice individuals pursuing Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Saturday: Training
Sunday: Training",['Novice'],['Strength'],Dumbbell Only,1,40,20,4,Novice,Strength,Upper/Lower,5.0
23,FP000024,Explosive Development Strategy,"Comprehensive training program offering high frequency and volume for advanced trainees.

This 9-week Upper/Lower/Push/Pull/Legs program includes 6 training sessions per week, structured to optimize gains for Beginner, Advanced, Novice individuals pursuing Athletics, Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, tempo variations.

Weekly Schedule:
Monday: Training
Wednesday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training","['Beginner', 'Advanced', 'Novice']","['Athletics', 'Bodybuilding']",Garage Gym,9,30,152,4,Beginner,Athletics,Upper/Lower,4.0
24,FP000025,ULPPL Bodybuilding Program,"Advanced training split for targeted development of specific muscle groups.

This 14-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Novice, Intermediate, Advanced lifters focusing on Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include periodized intensity and volume, strategic deloads, drop sets for muscle fatigue, rest-pause techniques, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs","['Novice', 'Intermediate', 'Advanced']",['Strength'],At Home,14,60,593,5,Novice,Strength,Body Part Split,8.0
25,FP000026,4-Day Push/Pull Split,"Traditional bodybuilding split focusing on one or two muscle groups per workout.

This 4-week body part split includes 4 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Advanced, Beginner, Intermediate lifters focusing on Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, autoregulation guidelines.

Weekly Schedule:
Monday: Chest & Triceps
Tuesday: Back & Biceps
Wednesday: Shoulders & Arms
Thursday: Legs & Core","['Advanced', 'Beginner', 'Intermediate']",['Muscle & Sculpting'],Dumbbell Only,4,90,247,5,Advanced,Muscle & Sculpting,Body Part Split,10.0
26,FP000027,ULPPL Bodybuilding Program,"Focus on compound movements at the beginning of each session followed by targeted isolation work.

This 3-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Advanced lifters focusing on Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include progressive overload mechanisms, strategic deloads.

Weekly Schedule:
Monday: Upper Body
Wednesday: Lower Body
Friday: Upper Body
Saturday: Lower Body",['Advanced'],['Athletics'],Full Gym,3,50,76,4,Advanced,Athletics,Upper/Lower,8.0
27,FP000028,Power Bodyweight Fitness Builder,"Balance power and muscle building with this comprehensive 4-day training plan.

This 15-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Novice trainees looking to improve Athletics, Weight Loss, Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include strategic deloads, rest-pause techniques.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Thursday: Upper Hypertrophy
Friday: Lower Hypertrophy",['Novice'],"['Athletics', 'Weight Loss', 'Strength']",Full Gym,15,40,291,4,Novice,Athletics,Other,5.0
28,FP000029,3-Day Upper/Lower/Push/Pull/Legs Split,"Full-body approach with additional volume for lagging or prioritized muscle groups.

This 14-week Full Body with Specialization program includes 4 training sessions per week, structured to optimize gains for Advanced, Intermediate, Novice individuals pursuing Powerbuilding, Athletics.

Exercise selection focuses on heavy compound lifts for strength development combined with strategic isolation work for balanced muscle development and aesthetics. 

Program features include progressive overload mechanisms, supersets for efficiency, tempo variations.

Weekly Schedule:
Tuesday: Training
Thursday: Training
Friday: Training
Saturday: Training","['Advanced', 'Intermediate', 'Novice']","['Powerbuilding', 'Athletics']",Full Gym,14,40,283,3,Advanced,Powerbuilding,Full Body,6.0
29,FP000030,PeakSculpt,"Streamlined approach grouping exercises by push and pull mechanics.

This 15-week Push/Pull program includes 6 training sessions per week, structured to optimize gains for Intermediate individuals pursuing Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Wednesday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training",['Intermediate'],['Strength'],Garage Gym,15,90,489,4,Intermediate,Strength,Other,9.0
30,FP000031,Hypertrophy Weight Loss Builder,"Focus on compound movements at the beginning of each session followed by targeted isolation work.

This 3-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Advanced lifters focusing on Bodybuilding, Powerbuilding, Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include strategic deloads, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body",['Advanced'],"['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",Garage Gym,3,80,100,4,Advanced,Bodybuilding,Upper/Lower,9.0
31,FP000032,Muscle Weight Loss Protocol,"Train upper body twice and lower body twice per week for balanced development and recovery.

This 2-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Intermediate lifters focusing on Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, supersets for efficiency, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Wednesday: Lower Body
Friday: Upper Body
Saturday: Lower Body",['Intermediate'],['Bodybuilding'],At Home,2,60,60,4,Intermediate,Bodybuilding,Upper/Lower,8.0
32,FP000033,Push/Pull Weight Loss Program,"Innovative 5-day split optimized for both strength and hypertrophy gains.

This 15-week Upper/Lower/Push/Pull/Legs program includes 6 training sessions per week, structured to optimize gains for Advanced, Novice individuals pursuing Powerbuilding.

Exercise selection focuses on heavy compound lifts for strength development combined with strategic isolation work for balanced muscle development and aesthetics. 

Program features include periodized intensity and volume, strategic deloads, drop sets for muscle fatigue.

Weekly Schedule:
Monday: Training
Wednesday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training","['Advanced', 'Novice']",['Powerbuilding'],Full Gym,15,70,600,4,Advanced,Powerbuilding,Upper/Lower,9.0
33,FP000034,PowerSculpt X,"Classic 5-day split targeting one major muscle group per session for maximum volume and intensity.

This 2-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Intermediate lifters focusing on Powerbuilding.

Exercise selection focuses on heavy compound lifts for strength development combined with strategic isolation work for balanced muscle development and aesthetics. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, autoregulation guidelines.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs",['Intermediate'],['Powerbuilding'],Full Gym,2,60,59,5,Intermediate,Powerbuilding,Body Part Split,9.0
34,FP000035,PowerLift,"5-day hybrid split combining elements of upper/lower and push/pull/legs approaches.

This 12-week Upper/Lower/Push/Pull/Legs program includes 6 training sessions per week, structured to optimize gains for Novice individuals pursuing Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, strategic deloads.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Friday: Training
Saturday: Training
Sunday: Training",['Novice'],['Muscle & Sculpting'],Dumbbell Only,12,40,431,4,Novice,Muscle & Sculpting,Upper/Lower,5.0
35,FP000036,PHAT (Power Hypertrophy Adaptive Training) Powerbuilding Program,"Structured upper/lower split allowing for high training frequency while managing fatigue.

This 15-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Intermediate, Novice lifters focusing on General Fitness, Powerbuilding.

Exercise selection focuses on heavy compound lifts for strength development combined with strategic isolation work for balanced muscle development and aesthetics. 

Program features include supersets for efficiency, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body","['Intermediate', 'Novice']","['General Fitness', 'Powerbuilding']",Dumbbell Only,15,70,600,4,Intermediate,General Fitness,Upper/Lower,8.0
36,FP000037,4-Day Upper/Lower Split,"Specialized program alternating between power and hypertrophy training across 5 weekly sessions.

This 11-week PHAT program features 5 weekly sessions, combining power training (2 days) with hypertrophy-focused bodybuilding (3 days). Designed for Advanced, Beginner lifters seeking improvements in Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, drop sets for muscle fatigue, tempo variations.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Wednesday: Back & Shoulders Hypertrophy
Thursday: Lower Hypertrophy
Friday: Chest & Arms Hypertrophy
Saturday: Rest
Sunday: Rest","['Advanced', 'Beginner']",['Bodybuilding'],Full Gym,11,50,324,3,Advanced,Bodybuilding,Other,7.0
37,FP000038,6-Day Full Body with Specialization Split,"6-day training split targeting pushing muscles, pulling muscles, and legs on separate days.

This 9-week PPL program involves 6 weekly sessions (2 push, 2 pull, and 2 leg days), ideal for Novice, Beginner trainees pursuing Bodyweight Fitness, Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include periodized intensity and volume, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Monday: Push
Tuesday: Pull
Wednesday: Legs
Thursday: Push
Friday: Pull
Saturday: Legs","['Novice', 'Beginner']","['Bodyweight Fitness', 'Bodybuilding']",Garage Gym,9,30,220,6,Novice,Bodyweight Fitness,Push/Pull/Legs,7.0
38,FP000039,Hypertrophy Gains Protocol,"Train the entire body 3 times per week, focusing on compound movements for optimal muscle stimulation.

This 15-week full body program includes 2 training sessions per week, targeting all major muscle groups each session with a focus on compound lifts. Designed for Advanced trainees seeking Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms.

Weekly Schedule:
Monday: Full Body
Saturday: Full Body",['Advanced'],['Powerlifting'],Dumbbell Only,15,40,318,3,Advanced,Powerlifting,Full Body,6.0
39,FP000040,6-Day Upper/Lower Split,"Classic 5-day split targeting one major muscle group per session for maximum volume and intensity.

This 9-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Advanced lifters focusing on Bodyweight Fitness, Weight Loss.

Exercise selection focuses on progressive bodyweight exercises that build functional strength and muscle, with minimal equipment requirements. 

Program features include progressive overload mechanisms, periodized intensity and volume, autoregulation guidelines.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs",['Advanced'],"['Bodyweight Fitness', 'Weight Loss']",At Home,9,70,228,5,Advanced,Bodyweight Fitness,Body Part Split,10.0
40,FP000041,Muscle Functional Plan,"6-day hybrid combining upper/lower and push/pull/legs for maximum stimulus.

This 16-week ULPPL program includes 5 training sessions per week, structured to optimize gains for Beginner individuals pursuing Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Wednesday: Training
Thursday: Training
Saturday: Training
Sunday: Training",['Beginner'],['Muscle & Sculpting'],Garage Gym,16,50,560,4,Beginner,Muscle & Sculpting,Upper/Lower,5.0
41,FP000042,Maximum Bodyweight Fitness System,"Comprehensive push/pull/legs routine designed for advanced muscle development.

This 14-week PPL program involves 6 weekly sessions (2 push, 2 pull, and 2 leg days), ideal for Advanced trainees pursuing Powerlifting, Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include strategic deloads, supersets for efficiency, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Monday: Push
Tuesday: Pull
Wednesday: Legs
Thursday: Push
Friday: Pull
Saturday: Legs",['Advanced'],"['Powerlifting', 'Muscle & Sculpting']",Dumbbell Only,14,80,600,6,Advanced,Powerlifting,Push/Pull/Legs,10.0
42,FP000043,Full Body Bodybuilding Program,"Balanced training program with extra focus on specific areas needing development.

This 8-week Full Body with Specialization program includes 5 training sessions per week, structured to optimize gains for Beginner, Novice, Intermediate individuals pursuing Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include supersets for efficiency, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Friday: Training
Saturday: Training","['Beginner', 'Novice', 'Intermediate']",['Athletics'],Full Gym,8,75,243,3,Beginner,Athletics,Full Body,5.0
